assessment_name	assessment_number_questions	assessment_version	question_label	question_text	question_behavioral_trait	question_behavioral_trait_id	question_behavioral_trait_synset	question_direction	question_id	question_datatype	question_options
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD13	13. Difficulty Playing Quietly	energetic	adae9e15-4dde-4c50-a8b5-be9d6818c997	energetic.a.01	positive	26	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD14	14. On the Go/Acts Like Driven by Motor	energetic	adae9e15-4dde-4c50-a8b5-be9d6818c997	energetic.a.01	positive	27	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD15	15. Talks Excessively	talkative	24e9d4d0-43b6-4021-ac53-61db3a5b6adf	chatty.s.01	positive	28	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD16	16. Blurts Out Answers	talkative	24e9d4d0-43b6-4021-ac53-61db3a5b6adf	chatty.s.01	positive	29	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD17	17. Difficulty Waiting Turn	impatient	fe6f9936-dbd6-4ac5-818f-0aa4b5779272	impatient.a.01	positive	30	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD18	18. Interrupts or Intrudes	intrusive	709a8a55-a045-47eb-9a2e-5f067bf24482	intrusive.a.01	positive	31	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD23	23. Careless/Sloppy	careless	e73b17d6-2a4c-496e-bef8-8a47c5161188	careless.a.01	positive	37	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD24	24. Difficulty sustaining attention	attentive	2f841e23-7458-4268-9e7f-64b6efa796f5	heedful.a.01	negative	38	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD25	25. Doesn't listen	listening	05d12128-8349-4c40-92f3-1343bcb2d6fa	listen.v.01	negative	39	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD26	26. Difficulty following instructions (finishing)	attentive	2f841e23-7458-4268-9e7f-64b6efa796f5	heedful.a.01	negative	40	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD27	27. Difficulty organizing tasks/activities	organized	5885cbc5-7849-48d7-9fe2-ba07a3eeefd2	organized.a.02	negative	41	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD28	28. Avoidance of tasks with sustained mental effort	attentive	2f841e23-7458-4268-9e7f-64b6efa796f5	heedful.a.01	negative	42	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD29	29. Loses things	careless	e73b17d6-2a4c-496e-bef8-8a47c5161188	careless.a.01	positive	43	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD30	30. Easily distracted	distracted	2237796f-d495-4153-8cf4-cd19d950c86b	distracted.s.01	positive	44	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD31	31. Forgetful in daily activities	forgetful	0b62c78c-6167-406f-8426-cac55d39ba11	unretentive.a.01	positive	45	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD32	32. Fidgets/Squirms	restless	f50e18d7-84e0-40cf-99ae-543e4cfe4e5e	restless.s.01	positive	46	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD33	33. Difficulty remaining seated	restless	f50e18d7-84e0-40cf-99ae-543e4cfe4e5e	restless.s.01	positive	47	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD34	34. Runs/Climbs excessively/Inappropriately	energetic	adae9e15-4dde-4c50-a8b5-be9d6818c997	energetic.a.01	positive	48	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD35	35. Difficulty playing quietly	energetic	adae9e15-4dde-4c50-a8b5-be9d6818c997	energetic.a.01	positive	49	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD36	36. On the go/Driven by a motor	energetic	adae9e15-4dde-4c50-a8b5-be9d6818c997	energetic.a.01	positive	50	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD37	37. Talks excessively	talkative	24e9d4d0-43b6-4021-ac53-61db3a5b6adf	chatty.s.01	positive	51	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD38	38. Blurts out answers	talkative	24e9d4d0-43b6-4021-ac53-61db3a5b6adf	chatty.s.01	positive	52	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD39	39. Difficulty waiting turn	impatient	fe6f9936-dbd6-4ac5-818f-0aa4b5779272	impatient.a.01	positive	53	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD40	40. Interrupts or Intrudes	intrusive	709a8a55-a045-47eb-9a2e-5f067bf24482	intrusive.a.01	positive	54	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD1	1. Makes a Lot of Careless Mistakes	careless	e73b17d6-2a4c-496e-bef8-8a47c5161188	careless.a.01	positive	56	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD2	2. Difficulty Sustaining Attention on Tasks/Play Activities	attentive	2f841e23-7458-4268-9e7f-64b6efa796f5	heedful.a.01	negative	57	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD3	3. Doesn't Listen	listening	05d12128-8349-4c40-92f3-1343bcb2d6fa	listen.v.01	negative	58	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD4	4. Difficulty Following Instructions	attentive	2f841e23-7458-4268-9e7f-64b6efa796f5	heedful.a.01	negative	59	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD5	5. Difficulty Organizing Tasks	organized	5885cbc5-7849-48d7-9fe2-ba07a3eeefd2	organized.a.02	negative	60	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD6	6. Dislikes/Avoids Tasks Requiring Attention	attentive	2f841e23-7458-4268-9e7f-64b6efa796f5	heedful.a.01	negative	61	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD7	7. Loses Things	careless	e73b17d6-2a4c-496e-bef8-8a47c5161188	careless.a.01	positive	62	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD8	8. Easily Distracted	distracted	2237796f-d495-4153-8cf4-cd19d950c86b	distracted.s.01	positive	63	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD9	9. Forgetful in Daily Activities	forgetful	0b62c78c-6167-406f-8426-cac55d39ba11	unretentive.a.01	positive	64	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD10	10. Fidget	restless	f50e18d7-84e0-40cf-99ae-543e4cfe4e5e	restless.s.01	positive	65	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD11	11. Difficulty Remaining Seated	restless	f50e18d7-84e0-40cf-99ae-543e4cfe4e5e	restless.s.01	positive	66	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD12	12. Runs or Climbs Excessively	energetic	adae9e15-4dde-4c50-a8b5-be9d6818c997	energetic.a.01	positive	67	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD13	13. Difficulty Playing Quietly	energetic	adae9e15-4dde-4c50-a8b5-be9d6818c997	energetic.a.01	positive	68	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD14	14. On the Go/Acts Like Driven by Motor	energetic	adae9e15-4dde-4c50-a8b5-be9d6818c997	energetic.a.01	positive	69	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD15	15. Talks Excessively	talkative	24e9d4d0-43b6-4021-ac53-61db3a5b6adf	chatty.s.01	positive	70	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD16	16. Blurts Out Answers	talkative	24e9d4d0-43b6-4021-ac53-61db3a5b6adf	chatty.s.01	positive	71	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD17	17. Difficulty Waiting Turn	impatient	fe6f9936-dbd6-4ac5-818f-0aa4b5779272	impatient.a.01	positive	72	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD18	18. Interrupts or Intrudes	intrusive	709a8a55-a045-47eb-9a2e-5f067bf24482	intrusive.a.01	positive	73	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD22	22. Careless/Sloppy	careless	e73b17d6-2a4c-496e-bef8-8a47c5161188	careless.a.01	positive	77	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD23	23. Difficulty sustaining attention	attentive	2f841e23-7458-4268-9e7f-64b6efa796f5	heedful.a.01	negative	78	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD24	24. Doesn't listen	listening	05d12128-8349-4c40-92f3-1343bcb2d6fa	listen.v.01	negative	79	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD25	25. Difficulty following instructions (finishing)	attentive	2f841e23-7458-4268-9e7f-64b6efa796f5	heedful.a.01	negative	80	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD26	26. Difficulty organizing tasks/activities	organized	5885cbc5-7849-48d7-9fe2-ba07a3eeefd2	organized.a.02	negative	81	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD27	27. Avoidance of tasks with sustained mental effort	attentive	2f841e23-7458-4268-9e7f-64b6efa796f5	heedful.a.01	negative	82	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD28	28. Loses things	careless	e73b17d6-2a4c-496e-bef8-8a47c5161188	careless.a.01	positive	83	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD29	29. Easily distracted	attentive	2f841e23-7458-4268-9e7f-64b6efa796f5	heedful.a.01	negative	84	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD30	30. Forgetful in daily activities	forgetful	0b62c78c-6167-406f-8426-cac55d39ba11	unretentive.a.01	positive	85	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD31	31. Fidgets/Squirms	restless	f50e18d7-84e0-40cf-99ae-543e4cfe4e5e	restless.s.01	positive	86	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD32	32. Difficulty remaining seated	restless	f50e18d7-84e0-40cf-99ae-543e4cfe4e5e	restless.s.01	positive	87	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD33	33. Runs/Climbs excessively/Inappropriately	energetic	adae9e15-4dde-4c50-a8b5-be9d6818c997	energetic.a.01	positive	88	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD34	34. Difficulty playing quietly	energetic	adae9e15-4dde-4c50-a8b5-be9d6818c997	energetic.a.01	positive	89	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD35	35. On the go/Driven by a motor	energetic	adae9e15-4dde-4c50-a8b5-be9d6818c997	energetic.a.01	positive	90	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD36	36. Talks excessively	talkative	24e9d4d0-43b6-4021-ac53-61db3a5b6adf	chatty.s.01	positive	91	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD37	37. Blurts out answers	talkative	24e9d4d0-43b6-4021-ac53-61db3a5b6adf	chatty.s.01	positive	92	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD38	38. Difficulty waiting turn	impatient	fe6f9936-dbd6-4ac5-818f-0aa4b5779272	impatient.a.01	positive	93	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	73	1.2	ADULTADHD39	39. Interrupts or Intrudes	intrusive	709a8a55-a045-47eb-9a2e-5f067bf24482	intrusive.a.01	positive	94	INT	1  YES  2  NO
Young Mania Rating Scale	12	C	YMRS_SID	system auto-generated number			None	positive	131	LONGINT	
Young Mania Rating Scale	12	C	YMRS_PTID	Patient ID			None	positive	133	LONGINT	
Young Mania Rating Scale	12	C	YMRS1	1. Elevated Mood	happy	88cb2f51-b773-428c-b346-25a27ec7a289	happy.a.01	positive	134	INT	0.Absent  1.Mildly or possibly increased on questioning  2.Definite subjective elevation: optimistic  self-confident| Cheerful|  appropriate to content  3.Elevated  inappropriate to content|  humorous  4.Euphoric| inappropriate laughter| singing
Young Mania Rating Scale	12	C	YMRS2	2. Increased Motor Activity-Energy	energetic	adae9e15-4dde-4c50-a8b5-be9d6818c997	energetic.a.01	positive	135	INT	0. Absent  1. Subjectively increased  2. Animated| gestures increased  3. Excessive energy| hyperactive at times| restless (can be calmed)  4. Motor excitement| continuous hyperactivity (cannot be calmed)
Young Mania Rating Scale	12	C	YMRS3	3. Sexual Interest	horny	d962fd76-54b6-42b7-bd98-cfd51ffc80fb	aroused.s.04	positive	136	INT	0. Normal| not increased  1. Mildly or possibly increased  2. Definite subjective increase on questioning  3. Spontaneous sexual content| elaborates on sexual matters| hypersexual by self-report  4. Overt sexual acts (toward patients  staff or interviewer)
Young Mania Rating Scale	12	C	YMRS4	4. Sleep	sleepy	8ef3ce27-572d-403b-b02d-1c8a7acb504a	sleepy.s.01	positive	137	INT	0. Reports no decrease in sleep  1. Sleeping less than normal amount by up to one hour  2. Sleeping less than normal by more than one hour  3. Reports decreased need for sleep  4. Denies need for sleep
Young Mania Rating Scale	12	C	YMRS5	5. Irritability	irritable	d7f4c531-534d-423b-9a20-31cb4a1fbeb2	cranky.s.02	positive	138	INT	0. Absent  2. Subjectively increased  4. Irritable at times during interview| recent episodes of anger or annoyance on ward  6. Frequently irritable during interview| short  curt throughout  8. Hostile  uncooperative| interview impossible
Young Mania Rating Scale	12	C	YMRS6	6. Speech (Rate and Amount)	talkative	24e9d4d0-43b6-4021-ac53-61db3a5b6adf	chatty.s.01	positive	139	INT	0. No increase  2. Feels talkative  4. Increased rate or amount at times  verbose at times  6. Push| consistently increased rate and amount| difficult to interrupt  8. Pressured| uninterruptible continuous speech
Young Mania Rating Scale	12	C	YMRS7	7. Language - Thought Disorder	pathological	4a467d32-3d7f-4cb0-8b3a-56a4238a138f	pathological.s.02	positive	140	INT	0. Absent  1. Circumstantial| mild distractibility| quick thoughts  2. Distractible| loses goal of thought| changes topics frequently| racing thoughts  3. Flight of ideas| tangentiality| difficult to follow| rhyming echolalia  4. Incoherent|  communication impossible
Young Mania Rating Scale	12	C	YMRS8	8. Content	content	eec3abf1-a149-4cf1-8393-525c62d7e7cc	contentedness.n.01	positive	141	INT	0. Normal  2. Questionable plans| new interests  4. Special project(s)| hyper religious  6. Grandiose or paranoid ideas| ideas of reference  8. Delusions| hallucinations
Young Mania Rating Scale	12	C	YMRS9	9. Disruptive - Aggressive Behavior	aggressive	e032f0fd-78d3-42e3-8fd7-0b049466df04	aggressive.s.03	positive	142	INT	0. Absent cooperative  1. Sarcastic| loud at times guarded  2. Demanding| threats on ward  3. Threatens interviewer shouting| interview difficult  4. Assaultive| destructive|  interview impossible
Young Mania Rating Scale	12	C	YMRS11	11. Insight	insightful	b1e9a7b7-20be-4d96-b204-f33727f21c2c	insightful.s.01	positive	144	INT	0. Present| admits illness| agrees with need for treatment  1. Possibly ill  2. Admits behavior change but denies illness  3. Admits possible change in behavior  but denies illness  4. Denies any behavior change
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON_SID	system auto-generated number			None	positive	146	LONGINT	
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON_PTID	Patient ID			None	positive	148	LONGINT	
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON1	1. Depression	depressed	bb471004-22da-47ce-af33-5f367ac71041	gloomy.s.02	positive	149	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON2	2. Feelings of Guilt	guilty	2a68fb80-dcd5-4116-a473-30b88f11846c	guilty.s.02	positive	150	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON3	3. Suicide	suicidal	74c0ae95-da1d-40d9-90a2-d7c2c863dd91	self-destructive.s.01	positive	151	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON4	4. Insomnia, Early	sleepy	8ef3ce27-572d-403b-b02d-1c8a7acb504a	sleepy.s.01	negative	152	INT	0~2
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON5	5. Insomnia, Middle	sleepy	8ef3ce27-572d-403b-b02d-1c8a7acb504a	sleepy.s.01	negative	153	INT	0~2
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON6	6. Insomnia, Late	sleepy	8ef3ce27-572d-403b-b02d-1c8a7acb504a	sleepy.s.01	negative	154	INT	0~2
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON8	8. Retardation	retarded	98c36795-cbb2-4e88-97b5-1bd25e3daf41	retarded.a.01	positive	156	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON9	9. Agitation	agitated	0e2fd2a3-2c48-4089-9aaf-a817f9e020a3	agitated.a.01	positive	157	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON10	10. Anxiety, Psychic	anxious	6b7a4261-dfcd-4cb6-85d4-ebf5ecb6980d	anxious.s.02	positive	158	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON11	11. Anxiety, Somatic	anxious	6b7a4261-dfcd-4cb6-85d4-ebf5ecb6980d	anxious.s.02	positive	159	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON15	15. Hypochondriasis	hypochondriac	378e83c0-811e-4c16-afda-4d2ea6d6bc12	hypochondriac.s.01	positive	163	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON17	17. Insight	insightful	b1e9a7b7-20be-4d96-b204-f33727f21c2c	insightful.s.01	positive	166	INT	0~2
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON19	19. Depresonalization and Derealization	derealized	3e348941-9e62-4c16-968b-406e5d2f9f86	None	positive	169	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON20	20. Paranoid Symptoms	paranoid	4636548c-16c3-45b9-a8dd-8f1a55969677	paranoid.s.01	positive	170	INT	0~3
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON21	21. Obsessional and Compulsive Symptoms	obsessive-compulsive	1216904d-d645-4cde-9401-deec55c95987	obsessive-compulsive.n.01	positive	171	INT	0~2
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON22	22. Fatigability	tired	d0394c59-0fa8-4a8b-a27c-2fd113306713	tired.a.01	positive	172	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON23	23. Social Withdrawal	withdrawn (socially)	3892426d-b97e-48bd-a5cf-51589bcf694d	recluse.s.01	positive	173	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON24	24. Appetite Increase	famished	04d58762-926b-4be6-9417-3ee465aa463a	famished.s.01	positive	174	INT	0~3
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON25	25. Increased Eating	eating	a987743d-f626-4240-95e5-83632af2bf5c	eat.v.01	positive	175	INT	0~3
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON26	26. Carbohydrate Craving	craving	a4984226-2c36-46b3-b064-169dbea2f9a2	crave.v.01	positive	176	INT	0~3
Hamilton Psychiatric Rating Scale for Depression	23		HAMILTON28	28. Hypersomnia	tired	d0394c59-0fa8-4a8b-a27c-2fd113306713	tired.a.01	positive	178	INT	0~4
Scale for the Assessment of Negative Symptoms	27		SANS_SID	system auto-generated number	None	b821443e-cfc2-43ff-a23f-3a22da752a8f		positive	986	LONGINT	positive
Scale for the Assessment of Negative Symptoms	27		SANS_COMPLETED	Form completion	None	b821443e-cfc2-43ff-a23f-3a22da752a8f		positive	987	INT	positive
Scale for the Assessment of Negative Symptoms	27		SANS_PTID	Patient ID	None	b821443e-cfc2-43ff-a23f-3a22da752a8f		positive	988	LONGINT	positive
Scale for the Assessment of Negative Symptoms	27		SANS1	1. Unchanging Facial Expression	expressive	c90e9779-59f4-4c1b-977b-13f3f8f3b982	expressive.s.01	negative	989	INT	negative
Scale for the Assessment of Negative Symptoms	27		SANS2	2. Decreased Spontaneous Movements	retardation (psychomotor)	2d01364d-cb15-4203-9ddd-121d51b7c015	slowdown.n.01	positive	990	INT	positive
Scale for the Assessment of Negative Symptoms	27		SANS3	3. Paucity of Expressive Gestures	expressive	c90e9779-59f4-4c1b-977b-13f3f8f3b982	expressive.s.01	negative	991	INT	negative
Scale for the Assessment of Negative Symptoms	27		SANS4	4. Poor Eye Contact	gaze	af939d9a-7cdd-4175-8578-d65a99b5404c	gaze.v.01	negative	992	INT	negative
Scale for the Assessment of Negative Symptoms	27		SANS5	5. Affective Nonresponsivity	blank	82351345-d32f-486a-9fad-2d984de742cd	blank.s.02	positive	993	INT	positive
Scale for the Assessment of Negative Symptoms	27		SANS6	6. Lack of Vocal Inflections	blank	82351345-d32f-486a-9fad-2d984de742cd	blank.s.02	positive	994	INT	positive
Scale for the Assessment of Negative Symptoms	27		SANS7	7. Global Rating of Affective Flattening	blank	82351345-d32f-486a-9fad-2d984de742cd	blank.s.02	positive	995	INT	positive
Scale for the Assessment of Negative Symptoms	27		SANS8	8. Poverty of Speech	alogia	f38ec5a0-043a-49a8-b7df-6b301855f1fc	None	positive	996	INT	positive
Scale for the Assessment of Negative Symptoms	27		SANS9	9. Blocking	thought blocking	b9a8b78a-c1b9-49a5-bb2a-8e0644ae7bfe	schizophrenic.n.01	positive	997	INT	positive
Scale for the Assessment of Negative Symptoms	27		SANS10	10. Increased Latency of Response	lethargic	2da32608-e05d-450f-af3a-be78bf5e69c3	lethargic.a.01	positive	998	INT	positive
Scale for the Assessment of Negative Symptoms	27		SANS12	12. Grooming and Hygiene	clean	c6f48c19-4472-4e79-85bd-7ff8577d4325	clean.a.01	positive	1000	INT	positive
Scale for the Assessment of Negative Symptoms	27		SANS13	13a. Impersistence at Work or School	studious	ac47e94a-b776-4cf9-a687-b5206ea69831	studious.s.01	negative	1001	INT	positive
Scale for the Assessment of Negative Symptoms	27		SANS14	13b. Impersistence at Work or School	studious	ac47e94a-b776-4cf9-a687-b5206ea69831	studious.s.01	negative	1002	INT	positive
Scale for the Assessment of Negative Symptoms	27		SANS15	14. Physical Anergia	lethargic	2da32608-e05d-450f-af3a-be78bf5e69c3	lethargic.a.01	positive	1003	INT	positive
Scale for the Assessment of Negative Symptoms	27		SANS16	15. Global Rating of Avolition-Apathy	apathetic	02a0a7b5-f845-4258-86d0-a9747f16a906	apathetic.s.02	positive	1004	INT	positive
Scale for the Assessment of Negative Symptoms	27		SANS17	16. Recreational Interests and Activities	eclectic	84173116-9784-4989-a776-f8163a52d6ff	eclectic.s.01	positive	1005	INT	positive
Scale for the Assessment of Negative Symptoms	27		SANS18	17. Sexual Activity	horny	d962fd76-54b6-42b7-bd98-cfd51ffc80fb	aroused.s.04	positive	1006	INT	positive
Scale for the Assessment of Negative Symptoms	27		SANS19	18. Ability to Feel Intimacy and Closeness	aloof	264dcbd1-1bc6-4a3e-8b80-3b8ede5232ae	aloof.s.01	negative	1007	INT	positive
Scale for the Assessment of Negative Symptoms	27		SANS20	19. Relationships with Friends and Peers	aloof	264dcbd1-1bc6-4a3e-8b80-3b8ede5232ae	aloof.s.01	negative	1008	INT	positive
Scale for the Assessment of Negative Symptoms	27		SANS21	20. Global Rating of Anhedonia-Asociality	anhedonia	8a04e66e-f897-4b29-ac09-a68dcaff0e14	anhedonia.n.01	positive	1009	INT	positive
